intervalos_x,intervalos_y,PA,tempo
8,8,20,0.10172700881958008
8,9,20,0.1107029914855957
8,10,19,0.09674191474914551
8,11,18,0.09970402717590332
8,12,19,0.10076403617858887
8,13,18,0.10468697547912598
8,14,18,0.1107029914855957
8,15,18,0.10970592498779297
8,16,18,0.10471892356872559
8,17,17,0.10774016380310059
8,18,18,0.10871005058288574
8,19,18,0.1296529769897461
8,20,17,0.10870790481567383
8,21,17,0.11668801307678223
8,22,17,0.11768603324890137
8,23,17,0.11967897415161133
8,24,17,0.12264299392700195
8,25,17,0.1246941089630127
8,26,17,0.11865496635437012
8,27,17,0.12862014770507813
8,28,17,0.13068294525146484
8,29,17,0.12363815307617188
8,30,17,0.13566207885742188
8,31,17,0.13863205909729004
8,32,16,0.12566208839416504
8,33,17,0.15059900283813477
8,34,17,0.14358806610107422
8,35,17,0.14560985565185547
8,36,17,0.14763402938842773
8,37,16,0.1356360912322998
8,38,17,0.15259385108947754
8,39,16,0.15368413925170898
8,40,17,0.1548478603363037
8,41,17,0.1575770378112793
8,42,17,0.15957307815551758
8,43,17,0.1715409755706787
8,44,16,0.1655290126800537
8,45,17,0.17253899574279785
8,46,17,0.16931986808776855
8,47,17,0.17057299613952637
8,48,17,0.1715400218963623
8,49,17,0.1764991283416748
8,50,16,0.16857695579528809
8,51,16,0.16852092742919922
8,52,17,0.18952107429504395
8,53,16,0.1735398769378662
8,54,16,0.17350316047668457
8,55,16,0.17679691314697266
8,56,17,0.19148802757263184
8,57,16,0.17870807647705078
8,58,16,0.1825118064880371
8,59,16,0.19846820831298828
8,60,16,0.19448399543762207
8,61,17,0.2014598846435547
8,62,16,0.19049501419067383
8,63,15,0.17855000495910645
8,64,17,0.20644688606262207
8,65,17,0.21355199813842773
8,66,17,0.21442699432373047
8,67,16,0.20046091079711914
8,68,16,0.21043920516967773
8,69,17,0.2154219150543213
8,70,16,0.2054440975189209
8,71,17,0.22736287117004395
8,72,16,0.21744990348815918
8,73,16,0.21143317222595215
8,74,16,0.22040796279907227
8,75,16,0.21360397338867188
8,76,15,0.20345592498779297
8,77,17,0.24930214881896973
8,78,16,0.22143292427062988
8,79,17,0.25049400329589844
8,80,16,0.22439885139465332
8,81,16,0.2343449592590332
8,82,16,0.23688817024230957
8,83,17,0.2533118724822998
8,84,17,0.24634408950805664
8,85,17,0.25531697273254395
8,86,16,0.24634504318237305
8,87,16,0.2443370819091797
8,88,16,0.23833680152893066
8,89,16,0.24942493438720703
8,90,16,0.2513890266418457
8,91,16,0.25531697273254395
8,92,16,0.25432300567626953
8,93,16,0.4318408966064453
8,94,16,0.24235200881958008
8,95,16,0.25531697273254395
8,96,16,0.26625895500183105
8,97,17,0.2672560214996338
8,98,16,0.2683098316192627
8,99,16,0.26329493522644043
8,100,16,0.2562861442565918
8,101,16,0.2673168182373047
8,102,16,0.2682499885559082
8,103,17,0.29532599449157715
8,104,16,0.27229905128479004
8,105,16,0.2822449207305908
8,106,16,0.27124595642089844
8,107,16,0.27945613861083984
8,108,17,0.3091728687286377
8,109,16,0.28324007987976074
8,110,16,0.2902228832244873
8,111,16,0.2902259826660156
8,112,16,0.29717516899108887
8,113,16,0.31415796279907227
8,114,16,0.2962069511413574
8,115,17,0.3171510696411133
8,116,16,0.2982299327850342
8,117,16,0.29919910430908203
8,118,16,0.30814385414123535
8,119,15,0.2872321605682373
8,120,16,0.3062119483947754
8,121,16,0.3101680278778076
8,122,16,0.30814599990844727
8,123,16,0.3142130374908447
8,124,16,0.3121647834777832
8,125,15,0.2962062358856201
8,126,16,0.32227396965026855
8,127,16,0.3271520137786865
8,128,16,0.3231358528137207
8,129,16,0.3291189670562744
8,130,15,0.30518412590026855
8,131,16,0.32512903213500977
8,132,15,0.3101670742034912
8,133,16,0.33017897605895996
8,134,16,0.3321208953857422
8,135,16,0.3390641212463379
8,136,16,0.33513402938842773
8,137,15,0.32213878631591797
8,138,15,0.3181440830230713
8,139,16,0.35154008865356445
8,140,16,0.34234094619750977
8,141,16,0.34305500984191895
8,142,15,0.3361959457397461
8,143,15,0.3351309299468994
8,144,16,0.35103702545166016
8,145,16,0.3680429458618164
8,146,16,0.3523750305175781
8,147,16,0.36601996421813965
8,148,16,0.3650510311126709
8,149,16,0.3610358238220215
8,150,16,0.36711597442626953
9,8,18,0.0977320671081543
9,9,17,0.09474706649780273
9,10,16,0.0827789306640625
9,11,17,0.09275102615356445
9,12,16,0.09375
9,13,15,0.08277702331542969
9,14,15,0.09275197982788086
9,15,17,0.11070489883422852
9,16,16,0.10369420051574707
9,17,16,0.09776616096496582
9,18,15,0.10172796249389648
9,19,15,0.09671282768249512
9,20,15,0.10593605041503906
9,21,15,0.1046907901763916
9,22,15,0.10973501205444336
9,23,15,0.28324317932128906
9,24,15,0.1047508716583252
9,25,15,0.11566305160522461
9,26,15,0.10773897171020508
9,27,15,0.12869501113891602
9,28,15,0.12070798873901367
9,29,15,0.11469292640686035
9,30,15,0.12266683578491211
9,31,15,0.12666010856628418
9,32,15,0.12975096702575684
9,33,15,0.12466597557067871
9,34,15,0.13164615631103516
9,35,15,0.13566899299621582
9,36,14,0.12865591049194336
9,37,15,0.13067913055419922
9,38,15,0.13962793350219727
9,39,14,0.13563895225524902
9,40,14,0.13959407806396484
9,41,14,0.1386568546295166
9,42,15,0.1406230926513672
9,43,15,0.15059804916381836
9,44,15,0.15162205696105957
9,45,14,0.14261794090270996
9,46,15,0.16057491302490234
9,47,15,0.15956807136535645
9,48,14,0.15059709548950195
9,49,15,0.16356182098388672
9,50,15,0.17255306243896484
9,51,15,0.17252397537231445
